Country,DistribSI,T.Start.abs,T.End.abs,Mean_R,Quantile_2.5,Quantile_97.5
Jamaica,Gamma,23/04/2016,21/05/2016,0.313164010989616,0.0544363089756227,0.857275282875098
Jamaica,Gamma,30/04/2016,28/05/2016,1.2520457855916,0.41716290514019,2.62676554038796
Mexico,Gamma,02/01/2016,30/01/2016,4.29621798731805,2.87780754112672,5.90412222112942
Mexico,Gamma,09/01/2016,06/02/2016,2.75525283337874,1.64685794676307,4.16852851232612
Mexico,Gamma,16/01/2016,13/02/2016,1.96812149949213,1.3471268927214,2.90931760418858
Mexico,Gamma,23/01/2016,20/02/2016,1.86622108479978,1.43458773433971,2.41552167297154
Mexico,Gamma,30/01/2016,27/02/2016,1.59283738243866,1.23795906670512,1.9947367036413
Mexico,Gamma,06/02/2016,05/03/2016,1.03620446345027,0.799109616568218,1.31689845550615
Mexico,Gamma,13/02/2016,12/03/2016,0.872557273970291,0.686326734695605,1.08315150921916
Mexico,Gamma,20/02/2016,19/03/2016,0.986670474358969,0.788098971142062,1.20904383177089
Mexico,Gamma,27/02/2016,26/03/2016,0.937977905642498,0.743644064374386,1.15350260216356
Mexico,Gamma,05/03/2016,02/04/2016,0.941905783741226,0.749481503324948,1.15653320102025
Mexico,Gamma,12/03/2016,09/04/2016,1.06209847374998,0.854426915301986,1.29309319360368
Mexico,Gamma,19/03/2016,16/04/2016,1.10412744792238,0.889576367483317,1.33922889893734
Mexico,Gamma,26/03/2016,23/04/2016,0.953046438714021,0.756423372163586,1.17349266455307
Mexico,Gamma,02/04/2016,30/04/2016,0.817999382073158,0.639146973795962,1.01848532831539
Mexico,Gamma,09/04/2016,07/05/2016,0.785030837294447,0.606381690449478,0.98819257033971
Mexico,Gamma,16/04/2016,14/05/2016,0.914429947376666,0.707944805039236,1.15041754284864
Mexico,Gamma,23/04/2016,21/05/2016,0.864563157686534,0.660828290412816,1.09601387802276
Nicaragua,Gamma,30/01/2016,27/02/2016,2.78372436860123,1.70195324283325,4.74506958389539
Nicaragua,Gamma,06/02/2016,05/03/2016,1.89916631380006,1.34783574385775,2.71532420468532
Nicaragua,Gamma,13/02/2016,12/03/2016,1.16705401106903,0.880877187854795,1.53625115703602
Nicaragua,Gamma,20/02/2016,19/03/2016,0.899478887356455,0.701458890030464,1.12937683549703
Nicaragua,Gamma,27/02/2016,26/03/2016,0.612780103264871,0.458968181682983,0.790806567440868
Nicaragua,Gamma,05/03/2016,02/04/2016,0.543277861411709,0.389088433458079,0.728035840435399
Nicaragua,Gamma,12/03/2016,09/04/2016,0.475246032921857,0.31576064977236,0.674277216064791
Nicaragua,Gamma,19/03/2016,16/04/2016,0.614101944205528,0.40606621707733,0.878691517868332
Nicaragua,Gamma,26/03/2016,23/04/2016,0.593996104208096,0.374487891303751,0.873759499349951
Nicaragua,Gamma,02/04/2016,30/04/2016,1.01463703200474,0.694841899233778,1.39916879355451
Nicaragua,Gamma,09/04/2016,07/05/2016,1.55539855432352,1.14044089626615,2.03833200421881
Nicaragua,Gamma,16/04/2016,14/05/2016,1.76527361532192,1.29675838229551,2.30883177640388
Nicaragua,Gamma,23/04/2016,21/05/2016,1.43662800512306,1.03423554338639,1.92834657529396
Panama,Gamma,28/11/2015,26/12/2015,4.66801634027682,2.27660142301447,7.98519012696713
Panama,Gamma,05/12/2015,02/01/2016,2.07968532874047,1.16922713684825,3.64500229572193
Panama,Gamma,12/12/2015,09/01/2016,1.52201729367091,1.03493838602776,2.19086415475827
Panama,Gamma,19/12/2015,16/01/2016,1.58631823356401,1.17326031520423,2.07750238907852
Panama,Gamma,26/12/2015,23/01/2016,1.47450183094434,1.09336333017767,1.91373208098361
Panama,Gamma,02/01/2016,30/01/2016,2.12093370285714,1.6702500361678,2.64163520381357
Panama,Gamma,09/01/2016,06/02/2016,2.49782470213745,1.9319205835156,3.09542235165765
Panama,Gamma,16/01/2016,13/02/2016,2.28280092647517,1.67574403823533,2.99357517462769
Panama,Gamma,23/01/2016,20/02/2016,1.85698340830846,1.41806052350091,2.42821524880227
Panama,Gamma,30/01/2016,27/02/2016,1.53552139511336,1.24133689328187,1.90392407333972
Panama,Gamma,06/02/2016,05/03/2016,1.40467486655183,1.18142655469834,1.67028485802356
Panama,Gamma,13/02/2016,12/03/2016,1.29475126132081,1.10940683032341,1.50151515517153
Panama,Gamma,20/02/2016,19/03/2016,1.23003010506999,1.06505621316798,1.41071892256548
Panama,Gamma,27/02/2016,26/03/2016,1.24549582495236,1.09258973673363,1.41249388631495
Panama,Gamma,05/03/2016,02/04/2016,1.27091319820014,1.12146725289788,1.43061127378146
Panama,Gamma,12/03/2016,09/04/2016,1.13405814064902,0.994975449052558,1.28434458049629
Panama,Gamma,19/03/2016,16/04/2016,1.05263640825127,0.929140957430363,1.18517493434973
Panama,Gamma,26/03/2016,23/04/2016,1.01361605153471,0.899651804970682,1.13437740290296
Panama,Gamma,02/04/2016,30/04/2016,0.9744986065546,0.865172026257441,1.09043516920386
