City,Searches,Rain,Temp,Cases
Mexico-Durango,0,8.3,10.5,0
Mexico-Durango,0,12.5,25,0
Mexico-Durango,0,4.7,22.5,0
Mexico-Durango,0,121.7,23,0
Mexico-Durango,61,8.3,10.5,0
Mexico-Durango,4,82.6,21.7,0
Mexico-Durango,0,121.7,23,0
Mexico-Durango,31,8.3,10.5,0
Mexico-Durango,0,139.3,22.4,0
Mexico-Durango,0,10.9,16.1,0
Mexico-Durango,10,180.4,22.1,0
Mexico-Durango,8,0,16.5,1
Mexico-Durango,0,10.9,16.1,0
Mexico-Durango,50,12.5,25,0
Mexico-Durango,0,4.7,22.5,0
Mexico-Durango,11,3.1,19.3,0
Mexico-Durango,0,56.7,23.5,0
Mexico-Durango,38,121.7,23,0
Mexico-Durango,0,1.3,13.4,0
Mexico-Durango,0,16,14.1,0
Mexico-Durango,9,16.7,19.8,0
Mexico-Durango,0,16,14.1,0
Mexico-Durango,46,1.4,20.2,0
Mexico-Durango,58,18.7,16.7,0
Mexico-Durango,0,1.3,13.4,0
Mexico-Durango,0,82.6,21.7,0
Mexico-Durango,24,3.6,14.6,0
Mexico-Durango,9,8.9,22.1,0
Mexico-Durango,0,34.1,19.5,0
Mexico-Durango,12,34.1,19.5,0
Mexico-Durango,0,13.3,17.6,0
Mexico-Durango,17,10.9,16.1,0
Mexico-Durango,0,97.3,21,0
Mexico-Durango,38,3.6,14.6,0
Mexico-Durango,0,12.5,25,0
Mexico-Durango,56,3.6,14.6,0
Mexico-Durango,0,139.3,22.4,0
Mexico-Durango,0,97.3,21,0
Mexico-Durango,47,8.3,10.5,0
Mexico-Jalisco,0,35.3,18.6,0
Mexico-Jalisco,10,2.9,18.2,2
Mexico-Jalisco,23,2.9,18.2,1
Mexico-Jalisco,8,101.8,25.5,0
Mexico-Jalisco,12,131.9,23.2,1
Mexico-Jalisco,22,0.1,22.2,0
Mexico-Jalisco,9,0.9,20,29
Mexico-Jalisco,14,266.8,23.6,8
Mexico-Jalisco,0,35.3,18.6,0
Mexico-Jalisco,8,14.6,22.5,4
Mexico-Jalisco,10,51.8,25.3,0
Mexico-Jalisco,9,131.9,23.2,0
Mexico-Jalisco,0,0.1,22.2,0
Mexico-Jalisco,5,128.4,23.1,0
Mexico-Jalisco,8,266.8,23.6,7
Mexico-Jalisco,0,35.3,18.6,0
Mexico-Jalisco,8,0.9,20,42
Mexico-Jalisco,4,0.1,22.2,1
Mexico-Jalisco,5,6.5,21,0
Mexico-Jalisco,11,128.4,23.1,0
Mexico-Jalisco,15,45.5,19.7,5
Mexico-Jalisco,30,27.8,19.9,0
Mexico-Jalisco,12,6.8,24.7,0
Mexico-Jalisco,0,2.7,18.6,1
Mexico-Jalisco,15,27.8,19.9,0
Mexico-Jalisco,8,14.6,22.5,7
Mexico-Jalisco,8,14.6,22.5,4
Mexico-Jalisco,8,0.3,17.5,1
Mexico-Jalisco,6,113,24.3,0
Mexico-Jalisco,4,6.8,24.7,0
Mexico-Jalisco,13,51.8,25.3,0
Mexico-Jalisco,9,19,22.4,1
Mexico-Jalisco,1,59.4,21.8,8
Mexico-Jalisco,9,6.5,21,0
Mexico-Jalisco,24,19,22.4,1
Mexico-Jalisco,8,113,24.3,0
Mexico-Jalisco,2,6.7,17.2,1
Mexico-Jalisco,4,0.9,20,11
Mexico-Jalisco,8,16.1,20.8,0
Mexico-Jalisco,18,0.8,18.8,0
Mexico-Jalisco,9,59.4,21.8,23
